ROW;BASIS;BITVALUE;DET?
1;+;0;Y
2;X;1;Y
3;X;1;Y
4;+;0;Y
5;X;0;Y
6;+;0;N
7;X;1;Y
8;+;1;Y
9;+;1;N
10;X;1;Y
11;+;0;Y
12;X;1;Y
13;+;1;N
14;X;0;Y
15;X;0;N
16;+;1;N
17;+;0;Y
18;X;1;N
19;+;0;N
20;X;0;N
21;X;0;Y
22;X;0;N
23;X;1;N
24;X;1;N
25;+;1;Y
26;X;1;N
27;+;0;Y
28;+;0;N
29;+;1;Y
30;+;0;N
31;X;1;N
32;+;0;N
33;X;1;N
34;X;0;Y
35;+;0;N
36;+;0;Y
37;X;0;N
38;+;1;N
39;X;1;Y
40;X;1;Y
41;X;1;Y
42;X;0;N
43;X;1;N
44;X;0;N
45;X;0;N
46;X;0;Y
47;X;0;N
48;+;1;N
49;+;0;N
50;X;0;N
51;X;0;N
52;X;0;Y
53;+;0;Y
54;X;0;Y
55;+;0;N
56;+;0;N
57;+;0;N
58;X;1;Y
59;X;1;N
60;+;1;Y
61;+;1;N
62;+;1;N
63;+;1;N
64;+;0;Y
65;+;0;N
66;X;1;Y
67;X;0;Y
68;+;0;N
69;X;1;Y
70;X;1;Y
71;+;0;N
72;+;1;N
73;X;0;Y
74;+;1;Y
75;+;1;N
76;X;0;N
77;X;1;N
78;+;0;N
79;X;0;Y
80;X;1;N
81;+;0;N
82;+;0;N
83;+;1;Y
84;+;0;N
85;X;1;Y
86;+;0;N
87;X;1;Y
88;X;0;N
89;+;0;N
90;X;1;Y
91;+;0;N
92;X;0;N
93;+;1;N
94;+;1;N
95;X;0;Y
96;+;0;Y
97;X;1;Y
98;X;0;N
99;X;0;Y
100;+;0;N
101;+;1;Y
102;+;1;N
103;+;0;Y
104;+;1;N
105;+;1;N
106;+;1;Y
107;+;0;N
108;X;1;N
109;+;0;Y
110;+;0;N
111;X;1;N
112;X;1;N
113;X;0;Y
114;+;1;N
115;+;1;Y
116;+;0;N
117;+;0;N
118;+;0;N
119;X;0;N
120;X;1;Y
121;+;1;N
122;X;1;Y
123;X;1;Y
124;X;0;Y
125;+;1;N
126;+;0;N
127;+;0;Y
128;+;0;Y
129;X;1;Y
